,model,task,num_modes,num_epochs,lr,step_size,batch_size,spl_quantile,seed,r2,loss,AUROC,AUPRC
12,2d_lstm_resnet34,regression,4,25,0.0001,15,64,,10,0.154204316165162,136.0415802001953,0.78,0.91
13,2d_lstm_resnet34,regression,4,25,0.0001,15,64,,1000,0.133563689537015,139.36151123046875,0.74,0.86
14,2d_lstm_resnet34,regression,4,25,0.0001,15,64,,100,0.10738671469268601,143.57192993164062,0.74,0.88
15,2d_lstm_resnet34,regression,4,25,0.0001,15,64,,0,0.138292688493311,138.60089111328125,0.77,0.9
16,2d_lstm_resnet34,regression,4,25,0.0001,15,64,,10000,0.176701049239069,132.42311096191406,0.77,0.89
131,2d_lstm_resnet34,classification,4,25,0.0001,15,64,,10,,0.592018604278564,0.71,0.87
132,2d_lstm_resnet34,classification,4,25,0.0001,15,64,,1000,,0.571036219596862,0.7000000000000001,0.85
133,2d_lstm_resnet34,classification,4,25,0.0001,15,64,,100,,0.593469321727752,0.68,0.84
134,2d_lstm_resnet34,classification,4,25,0.0001,15,64,,0,,0.647166848182678,0.66,0.8200000000000001
135,2d_lstm_resnet34,classification,4,25,0.0001,15,64,,10000,,0.578743815422058,0.68,0.84
17,2d_lstm_resnet34,regression,8,25,0.0001,15,64,,10,0.038640037688052006,154.62945556640625,0.77,0.89
18,2d_lstm_resnet34,regression,8,25,0.0001,15,64,,1000,0.051217746338063,152.6063995361328,0.75,0.88
19,2d_lstm_resnet34,regression,8,25,0.0001,15,64,,100,0.013497170066565001,158.6735382080078,0.74,0.86
20,2d_lstm_resnet34,regression,8,25,0.0001,15,64,,0,0.053885406337089006,152.17730712890625,0.76,0.89
21,2d_lstm_resnet34,regression,8,25,0.0001,15,64,,10000,0.13473196417310102,139.17359924316406,0.77,0.89
136,2d_lstm_resnet34,classification,8,25,0.0001,15,64,,10,,0.664611339569091,0.67,0.8300000000000001
137,2d_lstm_resnet34,classification,8,25,0.0001,15,64,,1000,,0.554772734642028,0.72,0.87
138,2d_lstm_resnet34,classification,8,25,0.0001,15,64,,100,,0.541154026985168,0.73,0.88
139,2d_lstm_resnet34,classification,8,25,0.0001,15,64,,0,,0.588072776794433,0.72,0.89
