,model,task,num_modes,num_epochs,lr,step_size,batch_size,spl_quantile,seed,r2,loss,AUROC,AUPRC
111,2d_resnet34,regression,8,100,0.0001,15,64,,10000,0.5250125336064091,70.11270904541016,0.87,0.9400000000000001
220,2d_resnet34,classification,8,100,0.0001,15,64,,10,,0.52607774734497,0.7000000000000001,0.85
221,2d_resnet34,classification,8,100,0.0001,15,64,,1000,,0.5163998603820801,0.6900000000000001,0.85
222,2d_resnet34,classification,8,100,0.0001,15,64,,100,,0.518390417098999,0.67,0.84
223,2d_resnet34,classification,8,100,0.0001,15,64,,0,,0.519214332103729,0.68,0.85
224,2d_resnet34,classification,8,100,0.0001,15,64,,10000,,0.5280635356903071,0.68,0.84
97,2d_resnet34,regression,16,100,0.0001,15,64,,10,0.579362283248508,62.09016799926758,0.89,0.9500000000000001
98,2d_resnet34,regression,16,100,0.0001,15,64,,1000,0.579972192197243,62.00012969970703,0.89,0.9500000000000001
99,2d_resnet34,regression,16,100,0.0001,15,64,,100,0.5698623266884421,63.49244689941406,0.89,0.9500000000000001
100,2d_resnet34,regression,16,100,0.0001,15,64,,0,0.5804408814688871,61.93095779418945,0.89,0.9500000000000001
101,2d_resnet34,regression,16,100,0.0001,15,64,,10000,0.579652573161302,62.04730987548828,0.89,0.9500000000000001
211,2d_resnet34,classification,16,100,0.0001,15,64,,10,,0.5091094970703121,0.7000000000000001,0.85
212,2d_resnet34,classification,16,100,0.0001,15,64,,1000,,0.49735218286514205,0.71,0.86
213,2d_resnet34,classification,16,100,0.0001,15,64,,100,,0.5129896402359,0.6900000000000001,0.84
214,2d_resnet34,classification,16,100,0.0001,15,64,,0,,0.491121560335159,0.72,0.86
215,2d_resnet34,classification,16,100,0.0001,15,64,,10000,,0.5056189894676201,0.71,0.86
112,2d_resnet34,regression,32,100,0.0001,15,64,,10,0.566967576223517,63.91973876953125,0.88,0.9500000000000001
113,2d_resnet34,regression,32,100,0.0001,15,64,,1000,0.587234658933509,60.928123474121094,0.89,0.9500000000000001
114,2d_resnet34,regression,32,100,0.0001,15,64,,100,0.5575433360824841,65.31085205078125,0.89,0.9500000000000001
115,2d_resnet34,regression,32,100,0.0001,15,64,,0,0.5825455533446521,61.620277404785156,0.89,0.96
116,2d_resnet34,regression,32,100,0.0001,15,64,,10000,0.561307237722493,64.75526428222656,0.89,0.9500000000000001
225,2d_resnet34,classification,32,100,0.0001,15,64,,10,,0.50198084115982,0.71,0.85
226,2d_resnet34,classification,32,100,0.0001,15,64,,1000,,0.47644034028053206,0.73,0.86
227,2d_resnet34,classification,32,100,0.0001,15,64,,100,,0.49015536904335005,0.7000000000000001,0.85
228,2d_resnet34,classification,32,100,0.0001,15,64,,0,,0.501283466815948,0.6900000000000001,0.86
